Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2006,19. Family and consumer sciences/human sciences,1,"$28,100", 100 
Certificate,2007,19. Family and consumer sciences/human sciences,1,"$36,900", 100 
Certificate,2008,19. Family and consumer sciences/human sciences,1,"$26,500", 60 
Certificate,2009,19. Family and consumer sciences/human sciences,1,"$6,200", 130 
Certificate,2010,19. Family and consumer sciences/human sciences,1,"$27,300", 100 
Certificate,2011,19. Family and consumer sciences/human sciences,1,"$22,400", 150 
Certificate,2012,19. Family and consumer sciences/human sciences,1,"$24,100", 160 
Certificate,2013,19. Family and consumer sciences/human sciences,1,"$23,100", 110 
Certificate,2014,19. Family and consumer sciences/human sciences,1,"$23,900", 120 
Certificate,2005,"24. Liberal arts and sciences, general studies and humanities",1,"$20,500", 70 
Certificate,2006,"24. Liberal arts and sciences, general studies and humanities",1,"$27,800", 130 
Certificate,2007,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2008,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2009,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2010,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2011,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2012,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2013,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2014,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Certificate,2005,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2006,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2007,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2008,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2009,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2010,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2011,"31. Parks, recreation, leisure and fitness studies",1,"$27,200", 20 
Certificate,2012,"31. Parks, recreation, leisure and fitness studies",1,"$57,600", 40 
Certificate,2013,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2014,"31. Parks, recreation, leisure and fitness studies",1,n/a,n/a
Certificate,2005,43. Security and protective services,1,"$45,700", 130 
Certificate,2006,43. Security and protective services,1,"$43,500", 250 
Certificate,2007,43. Security and protective services,1,"$45,000", 160 
Certificate,2008,43. Security and protective services,1,"$37,600", 160 
Certificate,2009,43. Security and protective services,1,"$40,900", 220 
Certificate,2010,43. Security and protective services,1,"$53,300", 130 
Certificate,2011,43. Security and protective services,1,"$45,900", 180 
Certificate,2012,43. Security and protective services,1,"$52,000", 140 
Certificate,2013,43. Security and protective services,1,"$46,200", 50 
Certificate,2014,43. Security and protective services,1,"$46,800", 80 
Certificate,2005,44. Public administration and social service professions,1,n/a,n/a
Certificate,2006,44. Public administration and social service professions,1,n/a,n/a
Certificate,2007,44. Public administration and social service professions,1,"$35,400", 20 
Certificate,2008,44. Public administration and social service professions,1,n/a,n/a
Certificate,2009,44. Public administration and social service professions,1,n/a,n/a
Certificate,2010,44. Public administration and social service professions,1,n/a,n/a
Certificate,2011,44. Public administration and social service professions,1,n/a,n/a
Certificate,2012,44. Public administration and social service professions,1,n/a,n/a
Certificate,2013,44. Public administration and social service professions,1,n/a,n/a
Certificate,2014,44. Public administration and social service professions,1,n/a,n/a
Certificate,2005,46. Construction trades,1,"$15,900", 50 
Certificate,2006,46. Construction trades,1,"$26,400", 80 
Certificate,2007,46. Construction trades,1,"$29,200", 50 
Certificate,2008,46. Construction trades,1,"$29,300", 30 
Certificate,2009,46. Construction trades,1,"$20,400", 30 
Certificate,2010,46. Construction trades,1,"$28,200", 70 
Certificate,2011,46. Construction trades,1,"$37,900", 60 
Certificate,2012,46. Construction trades,1,"$38,600", 50 
Certificate,2013,46. Construction trades,1,"$44,800", 150 
Certificate,2014,46. Construction trades,1,"$36,900", 110 
Certificate,2005,47. Mechanic and repair technologies/technicians,1,"$42,700", 170 
Certificate,2006,47. Mechanic and repair technologies/technicians,1,"$59,800", 300 
Certificate,2007,47. Mechanic and repair technologies/technicians,1,"$62,600", 280 
Certificate,2008,47. Mechanic and repair technologies/technicians,1,"$71,900", 290 
Certificate,2009,47. Mechanic and repair technologies/technicians,1,"$69,500", 300 
Certificate,2010,47. Mechanic and repair technologies/technicians,1,"$68,700", 320 
Certificate,2011,47. Mechanic and repair technologies/technicians,1,"$76,700", 380 
Certificate,2012,47. Mechanic and repair technologies/technicians,1,"$74,300", 330 
Certificate,2013,47. Mechanic and repair technologies/technicians,1,"$62,000", 460 
Certificate,2014,47. Mechanic and repair technologies/technicians,1,"$52,700", 420 
Certificate,2005,48. Precision production,1,"$76,300", 210 
Certificate,2006,48. Precision production,1,"$33,000", 40 
Certificate,2007,48. Precision production,1,"$33,600", 60 
Certificate,2008,48. Precision production,1,"$28,100", 40 
Certificate,2009,48. Precision production,1,"$28,500", 40 
Certificate,2010,48. Precision production,1,"$37,500", 50 
Certificate,2011,48. Precision production,1,"$39,400", 50 
Certificate,2012,48. Precision production,1,"$31,200", 50 
Certificate,2013,48. Precision production,1,"$37,700", 120 
Certificate,2014,48. Precision production,1,"$34,800", 90 
Certificate,2005,49. Transportation and materials moving,1,"$51,100", 50 
Certificate,2006,49. Transportation and materials moving,1,"$56,000", 50 
Certificate,2007,49. Transportation and materials moving,1,"$50,700", 60 
Certificate,2008,49. Transportation and materials moving,1,"$20,600", 60 
Certificate,2009,49. Transportation and materials moving,1,"$31,200", 50 
Certificate,2010,49. Transportation and materials moving,1,n/a,n/a
Certificate,2011,49. Transportation and materials moving,1,"$53,200", 30 
Certificate,2012,49. Transportation and materials moving,1,"$44,700", 50 
Certificate,2013,49. Transportation and materials moving,1,"$45,000", 40 
Certificate,2014,49. Transportation and materials moving,1,"$43,900", 50 
Certificate,2005,50. Visual and performing arts,1,"$22,700", 30 
Certificate,2006,50. Visual and performing arts,1,"$24,700", 60 
Certificate,2007,50. Visual and performing arts,1,"$27,100", 40 
Certificate,2008,50. Visual and performing arts,1,"$28,600", 30 
Certificate,2009,50. Visual and performing arts,1,"$18,500", 30 
Certificate,2010,50. Visual and performing arts,1,"$19,000", 40 
Certificate,2011,50. Visual and performing arts,1,"$24,200", 30 
Certificate,2012,50. Visual and performing arts,1,n/a,n/a
Certificate,2013,50. Visual and performing arts,1,n/a,n/a
Certificate,2014,50. Visual and performing arts,1,n/a,n/a
Certificate,2005,51. Health professions and related programs,1,"$35,200"," 1,810 "
Certificate,2006,51. Health professions and related programs,1,"$35,900"," 1,840 "
Certificate,2007,51. Health professions and related programs,1,"$38,000"," 1,730 "
Certificate,2008,51. Health professions and related programs,1,"$37,800"," 1,450 "
Certificate,2009,51. Health professions and related programs,1,"$37,500"," 1,760 "
Certificate,2010,51. Health professions and related programs,1,"$38,300"," 1,610 "
Certificate,2011,51. Health professions and related programs,1,"$39,500"," 1,840 "
Certificate,2012,51. Health professions and related programs,1,"$37,900"," 2,400 "
Certificate,2013,51. Health professions and related programs,1,"$36,100"," 2,160 "
Certificate,2014,51. Health professions and related programs,1,"$36,000"," 1,910 "
Certificate,2005,"52. Business, management, marketing and related support services",1,"$35,600", 600 
Certificate,2006,"52. Business, management, marketing and related support services",1,"$37,300", 620 
Certificate,2007,"52. Business, management, marketing and related support services",1,"$37,400", 570 
Certificate,2008,"52. Business, management, marketing and related support services",1,"$35,400", 500 
Certificate,2009,"52. Business, management, marketing and related support services",1,"$32,000", 450 
Certificate,2010,"52. Business, management, marketing and related support services",1,"$36,500", 430 
Certificate,2011,"52. Business, management, marketing and related support services",1,"$38,100", 550 
Certificate,2012,"52. Business, management, marketing and related support services",1,"$38,800", 640 
Certificate,2013,"52. Business, management, marketing and related support services",1,"$37,400", 650 
Certificate,2014,"52. Business, management, marketing and related support services",1,"$34,300", 600 
Certificate,2005,54. History,1,"$38,400", 50 
Certificate,2006,54. History,1,"$38,900", 40 
Certificate,2007,54. History,1,"$40,300", 20 
Certificate,2008,54. History,1,"$43,200", 20 
Certificate,2009,54. History,1,n/a,n/a
Certificate,2010,54. History,1,n/a,n/a
Certificate,2011,54. History,1,n/a,n/a
Certificate,2012,54. History,1,n/a,n/a
Certificate,2013,54. History,1,n/a,n/a
Certificate,2014,54. History,1,n/a,n/a
Diploma ,2005,00. Total (All Graduates),1,"$41,500"," 4,700 "
Diploma ,2006,00. Total (All Graduates),1,"$43,600"," 4,710 "
Diploma ,2007,00. Total (All Graduates),1,"$44,400"," 4,920 "
Diploma ,2008,00. Total (All Graduates),1,"$43,400"," 5,070 "
Diploma ,2009,00. Total (All Graduates),1,"$41,900"," 4,940 "
Diploma ,2010,00. Total (All Graduates),1,"$42,800"," 5,110 "
Diploma ,2011,00. Total (All Graduates),1,"$44,900"," 5,320 "
Diploma ,2012,00. Total (All Graduates),1,"$44,600"," 5,460 "
Diploma ,2013,00. Total (All Graduates),1,"$44,100"," 5,860 "
Diploma ,2014,00. Total (All Graduates),1,"$43,400"," 5,940 "
Diploma ,2005,"01. Agriculture, agriculture operations and related sciences",1,"$34,800", 130 
Diploma ,2006,"01. Agriculture, agriculture operations and related sciences",1,"$37,600", 110 
Diploma ,2007,"01. Agriculture, agriculture operations and related sciences",1,"$36,600", 120 
Diploma ,2008,"01. Agriculture, agriculture operations and related sciences",1,"$31,800", 90 
Diploma ,2009,"01. Agriculture, agriculture operations and related sciences",1,"$30,400", 80 
Diploma ,2010,"01. Agriculture, agriculture operations and related sciences",1,"$33,100", 100 
Diploma ,2011,"01. Agriculture, agriculture operations and related sciences",1,"$35,000", 80 
Diploma ,2012,"01. Agriculture, agriculture operations and related sciences",1,"$35,300", 100 
Diploma ,2013,"01. Agriculture, agriculture operations and related sciences",1,"$42,000", 110 
Diploma ,2014,"01. Agriculture, agriculture operations and related sciences",1,"$39,300", 110 
Diploma ,2005,03. Natural resources and conservation,1,"$43,400", 100 
Diploma ,2006,03. Natural resources and conservation,1,"$45,700", 110 
Diploma ,2007,03. Natural resources and conservation,1,"$45,200", 110 
Diploma ,2008,03. Natural resources and conservation,1,"$44,900", 110 
Diploma ,2009,03. Natural resources and conservation,1,"$41,100", 90 
Diploma ,2010,03. Natural resources and conservation,1,"$43,300", 100 
Diploma ,2011,03. Natural resources and conservation,1,"$51,500", 90 
Diploma ,2012,03. Natural resources and conservation,1,"$43,800", 130 
Diploma ,2013,03. Natural resources and conservation,1,"$43,500", 110 
Diploma ,2014,03. Natural resources and conservation,1,"$46,000", 130 
Diploma ,2005,04. Architecture and related services,1,"$44,600", 80 
Diploma ,2006,04. Architecture and related services,1,"$44,300", 100 
Diploma ,2007,04. Architecture and related services,1,"$45,900", 110 
Diploma ,2008,04. Architecture and related services,1,"$45,300", 120 
Diploma ,2009,04. Architecture and related services,1,"$41,700", 110 
Diploma ,2010,04. Architecture and related services,1,"$41,700", 150 
Diploma ,2011,04. Architecture and related services,1,"$45,400", 120 
Diploma ,2012,04. Architecture and related services,1,"$45,400", 140 
Diploma ,2013,04. Architecture and related services,1,"$45,600", 160 
Diploma ,2014,04. Architecture and related services,1,"$44,800", 120 
Diploma ,2005,"09. Communication, journalism and related programs",1,"$33,900", 160 
Diploma ,2006,"09. Communication, journalism and related programs",1,"$34,300", 190 
Diploma ,2007,"09. Communication, journalism and related programs",1,"$37,600", 140 
Diploma ,2008,"09. Communication, journalism and related programs",1,"$32,900", 130 
Diploma ,2009,"09. Communication, journalism and related programs",1,"$31,300", 140 
Diploma ,2010,"09. Communication, journalism and related programs",1,"$33,100", 140 
Diploma ,2011,"09. Communication, journalism and related programs",1,"$39,800", 200 
Diploma ,2012,"09. Communication, journalism and related programs",1,"$33,400", 220 
Diploma ,2013,"09. Communication, journalism and related programs",1,"$36,100", 210 
Diploma ,2014,"09. Communication, journalism and related programs",1,"$33,000", 210 
Diploma ,2005,10. Communications technologies/technicians and support services,1,"$31,200", 100 
Diploma ,2006,10. Communications technologies/technicians and support services,1,"$36,500", 90 
Diploma ,2007,10. Communications technologies/technicians and support services,1,"$34,100", 120 
Diploma ,2008,10. Communications technologies/technicians and support services,1,"$34,800", 120 
Diploma ,2009,10. Communications technologies/technicians and support services,1,"$33,200", 110 
Diploma ,2010,10. Communications technologies/technicians and support services,1,"$30,800", 120 
Diploma ,2011,10. Communications technologies/technicians and support services,1,"$36,700", 90 
Diploma ,2012,10. Communications technologies/technicians and support services,1,"$31,100", 80 
Diploma ,2013,10. Communications technologies/technicians and support services,1,"$35,000", 90 
Diploma ,2014,10. Communications technologies/technicians and support services,1,"$32,500", 90 
Diploma ,2005,11. Computer and information sciences and support services,1,"$45,500", 70 
Diploma ,2006,11. Computer and information sciences and support services,1,"$44,900", 60 
Diploma ,2007,11. Computer and information sciences and support services,1,"$40,700", 50 
Diploma ,2008,11. Computer and information sciences and support services,1,"$39,300", 50 
Diploma ,2009,11. Computer and information sciences and support services,1,"$33,800", 50 
Diploma ,2010,11. Computer and information sciences and support services,1,"$42,400", 70 
Diploma ,2011,11. Computer and information sciences and support services,1,"$45,300", 60 
Diploma ,2012,11. Computer and information sciences and support services,1,"$49,000", 90 
Diploma ,2013,11. Computer and information sciences and support services,1,"$40,700", 70 
Diploma ,2014,11. Computer and information sciences and support services,1,"$37,700", 80 
Diploma ,2005,12. Personal and culinary services,1,"$28,700", 60 
Diploma ,2006,12. Personal and culinary services,1,"$31,900", 70 
Diploma ,2007,12. Personal and culinary services,1,"$29,900", 60 
Diploma ,2008,12. Personal and culinary services,1,"$29,200", 60 
Diploma ,2009,12. Personal and culinary services,1,"$29,600", 70 
Diploma ,2010,12. Personal and culinary services,1,"$30,100", 70 
Diploma ,2011,12. Personal and culinary services,1,"$30,000", 80 
Diploma ,2012,12. Personal and culinary services,1,"$28,100", 80 
Diploma ,2013,12. Personal and culinary services,1,"$28,600", 130 
Diploma ,2014,12. Personal and culinary services,1,"$30,800", 160 
Diploma ,2005,13. Education,1,n/a,n/a
Diploma ,2006,13. Education,1,n/a,n/a
Diploma ,2007,13. Education,1,n/a,n/a
Diploma ,2008,13. Education,1,"$26,100", 20 
Diploma ,2009,13. Education,1,"$26,100", 20 
Diploma ,2010,13. Education,1,n/a,n/a
Diploma ,2011,13. Education,1,n/a,n/a
Diploma ,2012,13. Education,1,n/a,n/a
Diploma ,2013,13. Education,1,n/a,n/a
Diploma ,2014,13. Education,1,n/a,n/a
Diploma ,2005,15. Engineering technologies and engineering-related fields,1,"$52,200", 890 
Diploma ,2006,15. Engineering technologies and engineering-related fields,1,"$56,400", 810 
Diploma ,2007,15. Engineering technologies and engineering-related fields,1,"$57,200", 820 
Diploma ,2008,15. Engineering technologies and engineering-related fields,1,"$54,100", 890 
Diploma ,2009,15. Engineering technologies and engineering-related fields,1,"$50,500", 810 
Diploma ,2010,15. Engineering technologies and engineering-related fields,1,"$53,900", 820 
Diploma ,2011,15. Engineering technologies and engineering-related fields,1,"$60,600", 860 
Diploma ,2012,15. Engineering technologies and engineering-related fields,1,"$62,400", 860 
Diploma ,2013,15. Engineering technologies and engineering-related fields,1,"$60,000", 950 
Diploma ,2014,15. Engineering technologies and engineering-related fields,1,"$56,000", 990 
Diploma ,2005,19. Family and consumer sciences/human sciences,1,"$27,700", 100 
Diploma ,2006,19. Family and consumer sciences/human sciences,1,"$34,400", 90 
Diploma ,2007,19. Family and consumer sciences/human sciences,1,"$37,400", 100 
Diploma ,2008,19. Family and consumer sciences/human sciences,1,"$37,600", 120 
Diploma ,2009,19. Family and consumer sciences/human sciences,1,"$36,600", 140 
Diploma ,2010,19. Family and consumer sciences/human sciences,1,"$35,800", 120 
Diploma ,2011,19. Family and consumer sciences/human sciences,1,"$34,500", 190 
Diploma ,2012,19. Family and consumer sciences/human sciences,1,"$38,900", 140 
Diploma ,2013,19. Family and consumer sciences/human sciences,1,"$34,300", 140 
Diploma ,2014,19. Family and consumer sciences/human sciences,1,"$36,300", 180 
Diploma ,2005,22. Legal professions and studies,1,"$37,900", 110 
Diploma ,2006,22. Legal professions and studies,1,"$39,400", 110 
Diploma ,2007,22. Legal professions and studies,1,"$41,300", 120 
Diploma ,2008,22. Legal professions and studies,1,"$41,400", 130 
Diploma ,2009,22. Legal professions and studies,1,"$40,400", 110 
Diploma ,2010,22. Legal professions and studies,1,"$41,100", 100 
Diploma ,2011,22. Legal professions and studies,1,"$38,400", 130 
Diploma ,2012,22. Legal professions and studies,1,"$39,400", 120 
Diploma ,2013,22. Legal professions and studies,1,"$40,700", 150 
Diploma ,2014,22. Legal professions and studies,1,"$39,400", 120 
Diploma ,2005,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2006,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2007,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2008,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2009,"24. Liberal arts and sciences, general studies and humanities",1,"$28,300", 20 
Diploma ,2010,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2011,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2012,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2013,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2014,"24. Liberal arts and sciences, general studies and humanities",1,n/a,n/a
Diploma ,2005,25. Library science,1,"$31,400", 40 
Diploma ,2006,25. Library science,1,"$33,700", 30 
Diploma ,2007,25. Library science,1,"$34,100", 40 
Diploma ,2008,25. Library science,1,"$33,800", 50 
Diploma ,2009,25. Library science,1,"$36,500", 30 
Diploma ,2010,25. Library science,1,"$35,000", 40 
Diploma ,2011,25. Library science,1,"$30,700", 40 
Diploma ,2012,25. Library science,1,"$35,800", 40 
Diploma ,2013,25. Library science,1,"$29,900", 40 
Diploma ,2014,25. Library science,1,"$24,300", 30 
Diploma ,2005,"31. Parks, recreation, leisure and fitness studies",1,"$32,200", 50 
Diploma ,2006,"31. Parks, recreation, leisure and fitness studies",1,"$32,700", 50 
Diploma ,2007,"31. Parks, recreation, leisure and fitness studies",1,"$31,600", 40 
Diploma ,2008,"31. Parks, recreation, leisure and fitness studies",1,"$31,700", 60 
Diploma ,2009,"31. Parks, recreation, leisure and fitness studies",1,"$28,800", 40 
Diploma ,2010,"31. Parks, recreation, leisure and fitness studies",1,"$31,100", 40 
Diploma ,2011,"31. Parks, recreation, leisure and fitness studies",1,"$32,200", 60 
Diploma ,2012,"31. Parks, recreation, leisure and fitness studies",1,"$27,100", 60 
Diploma ,2013,"31. Parks, recreation, leisure and fitness studies",1,"$28,000", 60 
Diploma ,2014,"31. Parks, recreation, leisure and fitness studies",1,"$29,200", 70 
Diploma ,2005,41. Science technologies/technicians,1,"$43,000", 60 
Diploma ,2006,41. Science technologies/technicians,1,"$44,500", 60 
Diploma ,2007,41. Science technologies/technicians,1,"$46,700", 70 
Diploma ,2008,41. Science technologies/technicians,1,"$45,900", 50 
Diploma ,2009,41. Science technologies/technicians,1,"$37,100", 70 
Diploma ,2010,41. Science technologies/technicians,1,"$44,800", 50 
Diploma ,2011,41. Science technologies/technicians,1,"$48,000", 50 
Diploma ,2012,41. Science technologies/technicians,1,"$48,800", 40 
Diploma ,2013,41. Science technologies/technicians,1,"$43,200", 60 
Diploma ,2014,41. Science technologies/technicians,1,"$41,500", 50 
Diploma ,2005,43. Security and protective services,1,"$40,100", 170 
Diploma ,2006,43. Security and protective services,1,"$43,100", 230 
Diploma ,2007,43. Security and protective services,1,"$47,700", 180 
Diploma ,2008,43. Security and protective services,1,"$48,900", 180 
Diploma ,2009,43. Security and protective services,1,"$39,900", 170 
Diploma ,2010,43. Security and protective services,1,"$42,800", 170 
Diploma ,2011,43. Security and protective services,1,"$47,800", 160 
Diploma ,2012,43. Security and protective services,1,"$47,600", 220 
Diploma ,2013,43. Security and protective services,1,"$42,200", 240 
Diploma ,2014,43. Security and protective services,1,"$40,200", 260 
Diploma ,2005,44. Public administration and social service professions,1,"$33,000", 190 
Diploma ,2006,44. Public administration and social service professions,1,"$38,000", 190 
Diploma ,2007,44. Public administration and social service professions,1,"$34,000", 200 
Diploma ,2008,44. Public administration and social service professions,1,"$36,200", 190 
Diploma ,2009,44. Public administration and social service professions,1,"$39,000", 140 
Diploma ,2010,44. Public administration and social service professions,1,"$38,400", 150 
Diploma ,2011,44. Public administration and social service professions,1,"$39,200", 190 
Diploma ,2012,44. Public administration and social service professions,1,"$37,800", 190 
Diploma ,2013,44. Public administration and social service professions,1,"$39,000", 210 
Diploma ,2014,44. Public administration and social service professions,1,"$39,400", 220 
Diploma ,2005,47. Mechanic and repair technologies/technicians,1,"$46,800", 60 
Diploma ,2006,47. Mechanic and repair technologies/technicians,1,"$56,800", 150 
Diploma ,2007,47. Mechanic and repair technologies/technicians,1,"$57,900", 160 
Diploma ,2008,47. Mechanic and repair technologies/technicians,1,"$55,100", 190 
Diploma ,2009,47. Mechanic and repair technologies/technicians,1,"$54,000", 130 
Diploma ,2010,47. Mechanic and repair technologies/technicians,1,"$52,800", 160 
Diploma ,2011,47. Mechanic and repair technologies/technicians,1,"$65,600", 140 
