Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Certificate,2008,48. Precision production,5,"$44,400", 30 
Certificate,2009,48. Precision production,5,"$48,700", 40 
Certificate,2010,48. Precision production,5,"$46,100", 60 
Certificate,2005,49. Transportation and materials moving,5,"$61,800", 30 
Certificate,2006,49. Transportation and materials moving,5,"$73,800", 40 
Certificate,2007,49. Transportation and materials moving,5,"$84,300", 50 
Certificate,2008,49. Transportation and materials moving,5,"$28,300", 40 
Certificate,2009,49. Transportation and materials moving,5,"$42,300", 50 
Certificate,2010,49. Transportation and materials moving,5,n/a, n/a 
Certificate,2005,50. Visual and performing arts,5,n/a, n/a 
Certificate,2006,50. Visual and performing arts,5,"$34,600", 30 
Certificate,2007,50. Visual and performing arts,5,"$29,200", 30 
Certificate,2008,50. Visual and performing arts,5,"$34,400", 30 
Certificate,2009,50. Visual and performing arts,5,"$37,100", 30 
Certificate,2010,50. Visual and performing arts,5,"$28,600", 30 
Certificate,2005,51. Health professions and related programs,5,"$40,800"," 1,410 "
Certificate,2006,51. Health professions and related programs,5,"$42,000"," 1,480 "
Certificate,2007,51. Health professions and related programs,5,"$44,600"," 1,380 "
Certificate,2008,51. Health professions and related programs,5,"$44,000"," 1,170 "
Certificate,2009,51. Health professions and related programs,5,"$42,600"," 1,440 "
Certificate,2010,51. Health professions and related programs,5,"$43,800"," 1,320 "
Certificate,2005,"52. Business, management, marketing and related support services",5,"$41,300", 470 
Certificate,2006,"52. Business, management, marketing and related support services",5,"$44,000", 490 
Certificate,2007,"52. Business, management, marketing and related support services",5,"$43,900", 430 
Certificate,2008,"52. Business, management, marketing and related support services",5,"$40,600", 410 
Certificate,2009,"52. Business, management, marketing and related support services",5,"$39,600", 340 
Certificate,2010,"52. Business, management, marketing and related support services",5,"$41,400", 360 
Certificate,2005,54. History,5,"$48,400", 40 
Certificate,2006,54. History,5,"$48,600", 40 
Certificate,2007,54. History,5,n/a, n/a 
Certificate,2008,54. History,5,n/a, n/a 
Certificate,2009,54. History,5,n/a, n/a 
Certificate,2010,54. History,5,n/a, n/a 
Diploma ,2005,00. Total (All Graduates),5,"$53,100"," 3,600 "
Diploma ,2006,00. Total (All Graduates),5,"$54,200"," 3,770 "
Diploma ,2007,00. Total (All Graduates),5,"$55,700"," 3,870 "
Diploma ,2008,00. Total (All Graduates),5,"$54,900"," 4,100 "
Diploma ,2009,00. Total (All Graduates),5,"$54,200"," 4,140 "
Diploma ,2010,00. Total (All Graduates),5,"$52,400"," 4,180 "
Diploma ,2005,"01. Agriculture, agriculture operations and related sciences",5,"$44,900", 90 
Diploma ,2006,"01. Agriculture, agriculture operations and related sciences",5,"$42,900", 100 
Diploma ,2007,"01. Agriculture, agriculture operations and related sciences",5,"$44,800", 90 
Diploma ,2008,"01. Agriculture, agriculture operations and related sciences",5,"$43,700", 80 
Diploma ,2009,"01. Agriculture, agriculture operations and related sciences",5,"$43,400", 60 
Diploma ,2010,"01. Agriculture, agriculture operations and related sciences",5,"$47,500", 80 
Diploma ,2005,03. Natural resources and conservation,5,"$49,000", 80 
Diploma ,2006,03. Natural resources and conservation,5,"$57,700", 90 
Diploma ,2007,03. Natural resources and conservation,5,"$56,600", 80 
Diploma ,2008,03. Natural resources and conservation,5,"$62,700", 90 
Diploma ,2009,03. Natural resources and conservation,5,"$60,700", 100 
Diploma ,2010,03. Natural resources and conservation,5,"$57,600", 80 
Diploma ,2005,04. Architecture and related services,5,"$57,700", 70 
Diploma ,2006,04. Architecture and related services,5,"$57,300", 70 
Diploma ,2007,04. Architecture and related services,5,"$58,100", 80 
Diploma ,2008,04. Architecture and related services,5,"$61,000", 80 
Diploma ,2009,04. Architecture and related services,5,"$63,100", 90 
Diploma ,2010,04. Architecture and related services,5,"$57,200", 110 
Diploma ,2005,"09. Communication, journalism and related programs",5,"$42,500", 130 
Diploma ,2006,"09. Communication, journalism and related programs",5,"$48,600", 140 
Diploma ,2007,"09. Communication, journalism and related programs",5,"$48,200", 110 
Diploma ,2008,"09. Communication, journalism and related programs",5,"$42,000", 90 
Diploma ,2009,"09. Communication, journalism and related programs",5,"$44,600", 120 
Diploma ,2010,"09. Communication, journalism and related programs",5,"$48,100", 100 
Diploma ,2005,10. Communications technologies/technicians and support services,5,"$44,100", 80 
Diploma ,2006,10. Communications technologies/technicians and support services,5,"$43,800", 60 
Diploma ,2007,10. Communications technologies/technicians and support services,5,"$46,600", 60 
Diploma ,2008,10. Communications technologies/technicians and support services,5,"$47,600", 90 
Diploma ,2009,10. Communications technologies/technicians and support services,5,"$46,000", 70 
Diploma ,2010,10. Communications technologies/technicians and support services,5,"$45,700", 110 
Diploma ,2005,11. Computer and information sciences and support services,5,"$71,200", 70 
Diploma ,2006,11. Computer and information sciences and support services,5,"$61,600", 60 
Diploma ,2007,11. Computer and information sciences and support services,5,"$62,500", 40 
Diploma ,2008,11. Computer and information sciences and support services,5,"$57,200", 40 
Diploma ,2009,11. Computer and information sciences and support services,5,"$66,100", 40 
Diploma ,2010,11. Computer and information sciences and support services,5,"$63,500", 50 
Diploma ,2005,12. Personal and culinary services,5,"$33,500", 50 
Diploma ,2006,12. Personal and culinary services,5,"$32,900", 60 
Diploma ,2007,12. Personal and culinary services,5,"$36,900", 70 
Diploma ,2008,12. Personal and culinary services,5,"$36,900", 60 
Diploma ,2009,12. Personal and culinary services,5,"$37,000", 60 
Diploma ,2010,12. Personal and culinary services,5,"$30,600", 60 
Diploma ,2005,15. Engineering technologies and engineering-related fields,5,"$70,700", 680 
Diploma ,2006,15. Engineering technologies and engineering-related fields,5,"$74,600", 650 
Diploma ,2007,15. Engineering technologies and engineering-related fields,5,"$78,600", 650 
Diploma ,2008,15. Engineering technologies and engineering-related fields,5,"$75,700", 770 
Diploma ,2009,15. Engineering technologies and engineering-related fields,5,"$79,700", 740 
Diploma ,2010,15. Engineering technologies and engineering-related fields,5,"$73,100", 710 
Diploma ,2005,19. Family and consumer sciences/human sciences,5,"$36,200", 80 
Diploma ,2006,19. Family and consumer sciences/human sciences,5,"$33,300", 90 
Diploma ,2007,19. Family and consumer sciences/human sciences,5,"$39,500", 80 
Diploma ,2008,19. Family and consumer sciences/human sciences,5,"$33,700", 110 
Diploma ,2009,19. Family and consumer sciences/human sciences,5,"$31,000", 110 
Diploma ,2010,19. Family and consumer sciences/human sciences,5,"$39,700", 100 
Diploma ,2005,22. Legal professions and studies,5,"$49,100", 90 
Diploma ,2006,22. Legal professions and studies,5,"$46,500", 90 
Diploma ,2007,22. Legal professions and studies,5,"$49,500", 100 
Diploma ,2008,22. Legal professions and studies,5,"$48,900", 110 
Diploma ,2009,22. Legal professions and studies,5,"$46,800", 90 
Diploma ,2010,22. Legal professions and studies,5,"$46,500", 100 
Diploma ,2005,25. Library science,5,"$38,200", 40 
Diploma ,2006,25. Library science,5,"$41,000", 30 
Diploma ,2007,25. Library science,5,"$44,000", 30 
Diploma ,2008,25. Library science,5,"$50,700", 50 
Diploma ,2009,25. Library science,5,"$40,600", 20 
Diploma ,2010,25. Library science,5,"$51,000", 30 
